"","Metabolite","OR","SE","Pval","Method"
"1","L.HDL.FC",0.989565777504051,0.0348458725918285,0.763405018981248,"Maximum likelihood"
"2","Val",1.0319089714811,0.0684281868632658,0.646214022590038,"Maximum likelihood"
"3","L.LDL.PL",0.995279464267116,0.0264898479699621,0.858233243366917,"Maximum likelihood"
"4","Pyr",1.2927579253478,0.116518250887014,0.0275414671945358,"Maximum likelihood"
"5","IDL.L",1.01042097042908,0.026572548369351,0.696432124449093,"Maximum likelihood"
"6","Glc",1.02068252846202,0.0837181728048565,0.806820885865476,"Maximum likelihood"
"7","Est.C",0.995844899516014,0.0313795759748517,0.894438527450085,"Maximum likelihood"
"8","L.VLDL.TG",0.946410804261392,0.0519203093656124,0.288767792395295,"Maximum likelihood"
"9","L.VLDL.PL",0.9467361631215,0.0559162732786989,0.327643642352387,"Maximum likelihood"
"10","CH2.DB.ratio",0.936972053059982,0.087592154453843,0.457337562940426,"Maximum likelihood"
"11","S.VLDL.TG",0.986611290118344,0.0406915304747148,0.740454220334203,"Maximum likelihood"
"12","L.VLDL.L",0.948700215676724,0.0568600298319978,0.354354246389762,"Maximum likelihood"
"13","XL.HDL.PL",0.997509583197985,0.0319128724955241,0.937720398216697,"Maximum likelihood"
"14","HDL.D",1.01121296324643,0.0299965391153299,0.710095114855451,"Maximum likelihood"
"15","L.LDL.P",0.995532976118887,0.0256802072848302,0.861599993898155,"Maximum likelihood"
"16","S.VLDL.P",0.939721549286243,0.0438167080762289,0.155927209557102,"Maximum likelihood"
"17","Gly",0.990328253959544,0.0227410106425947,0.669110000861738,"Maximum likelihood"
"18","FAw6",1.03053728638524,0.0369593779133792,0.415716721920761,"Maximum likelihood"
"19","Tyr",0.918153049158385,0.0787487811736612,0.278209974996236,"Maximum likelihood"
"20","L.VLDL.P",1.01375401436978,0.056897544733222,0.810263826544759,"Maximum likelihood"
"21","IDL.C",1.01268013228654,0.0263666143276374,0.632726574841319,"Maximum likelihood"
"22","XL.VLDL.L",1.01841989528553,0.06350359707208,0.773789543255254,"Maximum likelihood"
"23","MUFA",1.08917503371171,0.0545060498118773,0.117073615397126,"Maximum likelihood"
"24","S.VLDL.C",0.995723595496235,0.0424970190882761,0.919674202990376,"Maximum likelihood"
"25","L.VLDL.C",0.945249380514681,0.0502666645834851,0.262647411995023,"Maximum likelihood"
"26","M.VLDL.C",0.959022796030713,0.046559607694156,0.36884321071485,"Maximum likelihood"
"27","His",0.96514911374971,0.101171697799931,0.725874585729977,"Maximum likelihood"
"28","L.VLDL.FC",0.992935798799607,0.0482462676945332,0.883179964363782,"Maximum likelihood"
"29","HDL.C",0.984108988228904,0.0390286391455464,0.681488601827124,"Maximum likelihood"
"30","SM",1.05556443831498,0.0483475045942844,0.263362754073267,"Maximum likelihood"
"31","XS.VLDL.P",1.06792731522293,0.0383944883976681,0.0869527584884996,"Maximum likelihood"
"32","XL.VLDL.PL",0.957003117260359,0.0548117548036082,0.422662692810908,"Maximum likelihood"
"33","XS.VLDL.PL",1.02153270453148,0.0316264326013138,0.500553871224206,"Maximum likelihood"
"34","M.HDL.P",0.976741301178252,0.0699913527463369,0.736694647548416,"Maximum likelihood"
"35","XXL.VLDL.L",1.0098860565796,0.0630595259973951,0.876030231683441,"Maximum likelihood"
"36","Cit",0.994646236730587,0.0731160148937117,0.941472248888573,"Maximum likelihood"
"37","Free.C",1.00876643688256,0.0320984278861115,0.785682807665878,"Maximum likelihood"
"38","S.VLDL.FC",0.962416507079468,0.0484058592121119,0.428715846437114,"Maximum likelihood"
"39","M.VLDL.TG",0.957008399424006,0.0500066581764671,0.379539446130449,"Maximum likelihood"
"40","DHA",0.968208022810811,0.0673702769042806,0.631537917265318,"Maximum likelihood"
"41","S.LDL.L",0.984202563354928,0.03097807847115,0.607233625931798,"Maximum likelihood"
"42","L.HDL.PL",1.01444399425037,0.0357610024376803,0.688409593019958,"Maximum likelihood"
"43","Ala",1.19844315244675,0.0837828483982095,0.0307242958575607,"Maximum likelihood"
"44","S.VLDL.PL",0.95831416673591,0.0456394495383656,0.350842502741896,"Maximum likelihood"
"45","XL.HDL.P",0.999733284791755,0.0379298387998296,0.994388729726241,"Maximum likelihood"
"46","LDL.D",0.916947537697163,0.0574966922823671,0.131554494968493,"Maximum likelihood"
"47","XL.HDL.FC",1.00353821121133,0.037529535712971,0.925020467404646,"Maximum likelihood"
"48","LA",1.02950935649888,0.034480108675511,0.39897538860994,"Maximum likelihood"
"49","ApoA1",0.963207069000041,0.041109176433069,0.361828950907107,"Maximum likelihood"
"50","IDL.PL",1.01578009080172,0.02770712756355,0.572016012283306,"Maximum likelihood"
"51","XL.HDL.TG",0.993246854105946,0.0319187007678078,0.831880049108638,"Maximum likelihood"
"52","M.HDL.FC",1.00386532061969,0.058219639397221,0.947167599224907,"Maximum likelihood"
"53","IDL.FC",1.02613676695472,0.0269874035705737,0.339051994573921,"Maximum likelihood"
"54","XS.VLDL.L",1.02003458670342,0.0355544573840701,0.576899159912773,"Maximum likelihood"
"55","L.HDL.CE",1.01290916281702,0.0342039077754185,0.707658632032812,"Maximum likelihood"
"56","FAw3",1.0274210234707,0.0670409740085659,0.68657200224576,"Maximum likelihood"
"57","S.HDL.P",1.01652149628211,0.0545005800599934,0.763668780718376,"Maximum likelihood"
"58","M.LDL.CE",0.976374006172386,0.0262843005218448,0.363006138198967,"Maximum likelihood"
"59","M.HDL.L",0.973097969639078,0.0630644557533795,0.665434091176608,"Maximum likelihood"
"60","L.HDL.C",1.00848030164136,0.034441585280269,0.806313509454488,"Maximum likelihood"
"61","Leu",1.12107891706552,0.0790016108850001,0.14798128384337,"Maximum likelihood"
"62","M.LDL.PL",0.998448606673064,0.0300325362593059,0.958769969657108,"Maximum likelihood"
"63","XXL.VLDL.PL",0.948781610221318,0.0579847998042634,0.364548905746399,"Maximum likelihood"
"64","XL.HDL.CE",1.00654494296314,0.0401575358781141,0.870950987267577,"Maximum likelihood"
"65","LDL.C",0.978659083779382,0.0253000601954335,0.393857157840515,"Maximum likelihood"
"66","M.LDL.P",0.985348199892046,0.0279531660018405,0.597476338859917,"Maximum likelihood"
"67","S.HDL.L",1.01996368875062,0.0490324060112694,0.686843687035478,"Maximum likelihood"
"68","L.VLDL.CE",0.970734017694865,0.0459146273189439,0.51768818012716,"Maximum likelihood"
"69","M.VLDL.P",1.01727767333263,0.050582399124203,0.734867719553328,"Maximum likelihood"
"70","XXL.VLDL.P",1.07332570060724,0.0682533465970228,0.299850316850103,"Maximum likelihood"
"71","M.VLDL.PL",0.978354514010777,0.0416892556740182,0.599644445504913,"Maximum likelihood"
"72","XL.HDL.C",1.01304235645272,0.0403144960710777,0.747889272826572,"Maximum likelihood"
"73","L.LDL.CE",0.988972124117934,0.025585927103564,0.664718724941623,"Maximum likelihood"
"74","M.HDL.C",1.02344850658274,0.0554699944572348,0.676061054750412,"Maximum likelihood"
"75","Gp",1.16732712944635,0.056760447398975,0.00641492669118869,"Maximum likelihood"
"76","M.HDL.CE",0.997645134701846,0.0587135625071452,0.967969563631915,"Maximum likelihood"
"77","S.LDL.C",0.966827516895118,0.0296791442612489,0.255679423876351,"Maximum likelihood"
"78","TotPG",1.01682154112394,0.0448956431961449,0.710217146658089,"Maximum likelihood"
"79","XS.VLDL.TG",1.07611818676163,0.0414937041094023,0.0770632169595467,"Maximum likelihood"
"80","L.HDL.P",1.01456777345082,0.0343897993982967,0.674082592024405,"Maximum likelihood"
"81","Phe",0.975347278251995,0.0987853930837334,0.800510845805507,"Maximum likelihood"
"82","XL.VLDL.TG",0.960722170781074,0.0547076756233392,0.463900875344197,"Maximum likelihood"
"83","XL.VLDL.P",1.03737385386025,0.0672788304224657,0.585493720296242,"Maximum likelihood"
"84","S.LDL.P",0.997400479538094,0.0339206620922372,0.938834288490617,"Maximum likelihood"
"85","Lac",1.37915641069985,0.152082173907055,0.0345319504458111,"Maximum likelihood"
"86","M.VLDL.CE",0.938494887632044,0.0424863477369651,0.135155523155684,"Maximum likelihood"
"87","S.VLDL.L",0.968236295671431,0.046249390317552,0.485217220519101,"Maximum likelihood"
"88","M.VLDL.FC",1.03296352883344,0.044911253010541,0.47021290842923,"Maximum likelihood"
"89","Tot.FA",0.991022382498836,0.0414924310197343,0.827939739707329,"Maximum likelihood"
"90","XXL.VLDL.TG",0.945839217881189,0.0527727409248966,0.291360828308163,"Maximum likelihood"
"91","VLDL.D",1.08100885201789,0.0415966064175564,0.0611205777434802,"Maximum likelihood"
"92","Gln",0.827186072836885,0.11302299477853,0.0932210320944838,"Maximum likelihood"
"93","L.LDL.FC",1.00442950365239,0.0258044777231864,0.864005698133629,"Maximum likelihood"
"94","L.LDL.L",0.994660254743522,0.0252162243209319,0.831852941516638,"Maximum likelihood"
"95","XL.HDL.L",1.01672197299272,0.0347368461330629,0.63307055494279,"Maximum likelihood"
"96","CH2.in.FA",1.10853044448371,0.115766645945953,0.373452438160383,"Maximum likelihood"
"97","IDL.P",1.00944859626764,0.0274132666708961,0.731557652367186,"Maximum likelihood"
"98","Crea",1.41086831192904,0.0825444848407753,3.04683247098935e-05,"Maximum likelihood"
"99","IDL.TG",1.04138159486821,0.0392319007046729,0.301344710667084,"Maximum likelihood"
"100","L.LDL.C",0.995393061550625,0.0257384380601342,0.857620357979971,"Maximum likelihood"
"101","M.VLDL.L",1.03793129810505,0.0461782918381614,0.420119338101823,"Maximum likelihood"
"102","Bis.FA.ratio",1.06772778044556,0.103263294645919,0.52567710992562,"Maximum likelihood"
"103","PC",1.0605860413216,0.0468641655661748,0.209423792705552,"Maximum likelihood"
"104","M.HDL.PL",0.945636574071586,0.0607863531389013,0.357800535833863,"Maximum likelihood"
"105","L.HDL.L",1.0156731930215,0.0343581093688179,0.650812552424244,"Maximum likelihood"
"106","M.LDL.L",0.976310660071579,0.0266833102362868,0.368929236139003,"Maximum likelihood"
"107","Serum.C",1.00224748839279,0.0314555319279104,0.943103658303588,"Maximum likelihood"
"108","otPUFA",1.06571241830014,0.057473029376267,0.268136966074367,"Maximum likelihood"
"109","FAw79S",1.1191077897134,0.0539872386887063,0.0371225332580395,"Maximum likelihood"
"110","M.LDL.C",0.979052986910447,0.0263424245079025,0.421611748874508,"Maximum likelihood"
"111","DB.in.FA",1.08148522911482,0.114922836436833,0.495470433170822,"Maximum likelihood"
"112","ApoB",0.996818533852204,0.0331628199068216,0.923450951681701,"Maximum likelihood"
"113","Serum.TG",0.979955477999728,0.0450874305073808,0.653369537004522,"Maximum likelihood"
"114","S.HDL.TG",0.914005012216912,0.0488483126890745,0.0656531245161883,"Maximum likelihood"
